epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3897,1.32046,1.82492,1.69433,0.98923,0.93732,0.98399,0.84026,0.68073,0.50009,1.59515,0.000473772,0.000473772,0.000473772
2,152.794,0.97397,0.735,1.43992,0.99245,0.94037,0.98528,0.85408,0.64727,0.44983,1.62317,0.000943835,0.000943835,0.000943835
3,216.913,0.89593,0.6301,1.39581,0.97776,0.96238,0.98846,0.90539,0.49906,0.36613,1.62479,0.00140761,0.00140761,0.00140761
4,287.922,0.84836,0.58388,1.35588,0.99214,0.95755,0.98489,0.8818,0.57198,0.37551,1.77224,0.00140071,0.00140071,0.00140071
5,356.102,0.8162,0.55653,1.34464,0.99422,0.95697,0.98817,0.88114,0.52984,0.3561,1.72256,0.00139127,0.00139127,0.00139127
6,407.399,0.80593,0.54657,1.31392,0.99046,0.9641,0.98926,0.87989,0.50804,0.36074,1.61829,0.00138184,0.00138184,0.00138184
7,457.375,0.77599,0.526,1.31594,0.99155,0.96234,0.99032,0.91489,0.45673,0.31237,2.28768,0.00137241,0.00137241,0.00137241
8,509.212,0.74894,0.51186,1.29431,0.99342,0.96238,0.98694,0.91287,0.49035,0.33862,1.46437,0.00136298,0.00136298,0.00136298
9,566.866,0.73433,0.49912,1.2729,0.98968,0.9641,0.98858,0.93363,0.433,0.29696,2.12335,0.00135355,0.00135355,0.00135355
10,696.601,0.72683,0.50198,1.26976,0.99045,0.96375,0.99123,0.88521,0.52398,0.38623,1.30156,0.00134412,0.00134412,0.00134412
11,836.485,0.71007,0.49031,1.25999,0.99365,0.9641,0.98984,0.92276,0.41905,0.29307,1.78148,0.00133469,0.00133469,0.00133469
12,991.254,0.71422,0.48298,1.26887,0.9939,0.96238,0.99274,0.93711,0.43423,0.31467,1.66473,0.00132525,0.00132525,0.00132525
13,1098.67,0.69766,0.47916,1.25668,0.99371,0.96536,0.9916,0.92295,0.43502,0.31222,1.65882,0.00131582,0.00131582,0.00131582
14,1210.79,0.6912,0.46484,1.24555,0.9891,0.96598,0.99205,0.93742,0.40887,0.30399,1.73942,0.00130639,0.00130639,0.00130639
15,1316.92,0.68066,0.46587,1.24447,0.99026,0.96291,0.99229,0.92383,0.46183,0.32729,1.72077,0.00129696,0.00129696,0.00129696
16,1435.87,0.6742,0.46352,1.23531,0.99305,0.96472,0.99191,0.90169,0.49395,0.32183,1.93808,0.00128753,0.00128753,0.00128753
17,1532.62,0.66191,0.45439,1.2293,0.99601,0.95873,0.9914,0.929,0.42784,0.30865,1.9378,0.0012781,0.0012781,0.0012781
18,1629.56,0.67414,0.46133,1.21872,0.9914,0.96531,0.99245,0.93517,0.38756,0.28941,1.64065,0.00126867,0.00126867,0.00126867
19,1723.04,0.65814,0.45482,1.22589,0.99367,0.96312,0.99314,0.94898,0.39495,0.30348,1.58412,0.00125923,0.00125923,0.00125923
20,1844.82,0.65989,0.45311,1.2193,0.99235,0.96238,0.99244,0.92398,0.42435,0.29619,1.46233,0.0012498,0.0012498,0.0012498
21,1980.48,0.64186,0.44536,1.21077,0.99342,0.9641,0.99318,0.95963,0.39334,0.30816,1.57189,0.00124037,0.00124037,0.00124037
22,2129.71,0.64053,0.44203,1.21798,0.96897,0.97949,0.99305,0.96194,0.36775,0.27186,1.54284,0.00123094,0.00123094,0.00123094
23,2268.62,0.64157,0.44554,1.20833,0.9926,0.96619,0.99337,0.92471,0.46501,0.32334,1.57633,0.00122151,0.00122151,0.00122151
24,2426.83,0.63824,0.44332,1.21164,0.99441,0.96527,0.99113,0.94711,0.36954,0.27758,1.42472,0.00121208,0.00121208,0.00121208
25,2553.69,0.63278,0.43836,1.19957,0.98997,0.96466,0.99251,0.9496,0.40681,0.30924,1.81861,0.00120265,0.00120265,0.00120265
26,2651.5,0.61822,0.4325,1.19874,0.99265,0.9653,0.99248,0.9502,0.38817,0.26991,1.71872,0.00119322,0.00119322,0.00119322
27,2763.12,0.62166,0.43448,1.19412,0.98545,0.97949,0.99305,0.94488,0.39636,0.29141,1.4532,0.00118378,0.00118378,0.00118378
28,2985.77,0.61531,0.4335,1.19092,0.98304,0.98241,0.99345,0.94942,0.37213,0.27321,1.52964,0.00117435,0.00117435,0.00117435
